%Flight DepDate Aircraft
1 06/09/24 B737#1
2 06/09/24 B737#1
3 06/09/24 B737#1
5 06/09/24 A320#1
6 06/09/24 A320#1
7 06/09/24 A320#1
8 06/09/24 A320#1
9 06/09/24 A320#2
10 06/09/24 A320#2
11 06/09/24 A320#2
12 06/09/24 A320#2
13 06/09/24 A320#3
14 06/09/24 A320#3
15 06/09/24 A320#3
16 06/09/24 B737#2
17 06/09/24 B737#2
18 06/09/24 B737#2
19 06/09/24 B737#2
20 06/09/24 B737#3
21 06/09/24 B737#3
22 06/09/24 B737#3
23 06/09/24 B737#4
24 06/09/24 B737#4
25 06/09/24 B737#4
26 06/09/24 A320#4
27 06/09/24 A320#4
28 06/09/24 A320#4
29 06/09/24 B737#5
30 06/09/24 B737#5
31 06/09/24 B737#5
32 06/09/24 B737#5
33 06/09/24 A320#5
34 06/09/24 A320#5
35 06/09/24 A320#5
36 06/09/24 A320#5
#
