%Flight DepDate Aircraft
1 13/09/24 B737#1
2 13/09/24 B737#1
3 13/09/24 B737#1
4 13/09/24 B737#2
5 13/09/24 B737#2
6 13/09/24 B737#2
7 13/09/24 B737#2
8 13/09/24 B737#3
9 13/09/24 B737#3
10 13/09/24 B737#3
11 13/09/24 B737#3
12 13/09/24 A320#1
13 13/09/24 A320#1
14 13/09/24 A320#1
15 13/09/24 A320#1
16 13/09/24 A320#2
17 13/09/24 A320#2
18 13/09/24 A320#2
20 13/09/24 A320#3
21 13/09/24 A320#3
22 13/09/24 A320#3
23 13/09/24 B737#4
24 13/09/24 B737#4
25 13/09/24 B737#4
26 13/09/24 B737#5
27 13/09/24 B737#5
28 13/09/24 B737#5
30 13/09/24 A320#4
31 13/09/24 A320#4
#
