%Flight DepDate Aircraft
1 09/09/24 B737#1
2 09/09/24 B737#1
3 09/09/24 B737#1
4 09/09/24 A320#1
5 09/09/24 A320#1
6 09/09/24 A320#1
7 09/09/24 A320#1
9 09/09/24 A320#2
10 09/09/24 A320#2
11 09/09/24 A320#2
12 09/09/24 A320#3
13 09/09/24 A320#3
14 09/09/24 A320#3
15 09/09/24 A320#3
16 09/09/24 A320#4
17 09/09/24 A320#4
18 09/09/24 A320#4
19 09/09/24 A320#4
20 09/09/24 B737#2
21 09/09/24 B737#2
22 09/09/24 B737#2
23 09/09/24 B737#2
24 09/09/24 A320#5
25 09/09/24 A320#5
26 09/09/24 A320#5
27 09/09/24 A320#6
28 09/09/24 A320#6
29 09/09/24 A320#6
30 09/09/24 A320#6
31 09/09/24 B737#3
32 09/09/24 B737#3
33 09/09/24 B737#3
34 09/09/24 B737#3
#
