%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH DUB 11:45 14:58 0
2 DUB FRA 15:06 16:23 0
3 ORY AMS 17:21 19:36 0
4 LHR AMS 20:19 22:23 0
6 BRU MUC 06:00 10:14 0
7 BCN BRU 12:25 14:37 0
8 MUC MAD 17:29 18:33 0
9 VIE ORY 21:10 22:35 0
11 BCN CPH 08:45 11:55 0
12 BRU CDG 11:59 13:07 0
13 MUC AMS 13:34 16:43 0
14 AMS MUC 19:38 00:10+1 0
15 CPH VIE 10:00 13:05 0
16 DUB CDG 15:42 17:46 0
17 DUB BRU 19:16 21:25 0
18 VIE ORY 23:19 02:30+1 0
19 MAD AMS 08:30 10:40 0
20 BCN FRA 12:25 14:38 0
21 ZRH AMS 17:30 20:20 0
22 TXL ZRH 22:33 02:28+1 0
23 FRA TXL 07:45 12:30 0
24 CDG MAD 12:36 17:21 0
25 VIE CDG 19:11 23:36 0
26 ORY FRA 11:30 15:13 0
27 MAD CPH 15:18 16:22 0
28 ORY CDG 18:00 19:17 0
29 TXL ORY 21:04 01:25+1 0
#
