%Flight DepDate Aircraft
2 15/09/24 B737#1
3 15/09/24 B737#1
4 15/09/24 B737#1
5 15/09/24 B737#1
6 15/09/24 A320#2
7 15/09/24 A320#2
8 15/09/24 A320#2
9 15/09/24 A320#2
11 15/09/24 B737#2
12 15/09/24 B737#2
13 15/09/24 B737#2
14 15/09/24 A320#4
15 15/09/24 A320#4
16 15/09/24 A320#4
17 15/09/24 A320#5
18 15/09/24 A320#5
19 15/09/24 A320#5
20 15/09/24 A320#5
21 15/09/24 B737#3
22 15/09/24 B737#3
23 15/09/24 B737#3
24 15/09/24 B737#3
25 15/09/24 B737#4
26 15/09/24 B737#4
27 15/09/24 B737#4
28 15/09/24 B737#4
29 15/09/24 B737#5
30 15/09/24 B737#5
31 15/09/24 B737#5
32 15/09/24 B737#5
#
