%Flight DepDate Aircraft
1 17/09/24 A320#1
2 17/09/24 A320#1
3 17/09/24 A320#1
4 17/09/24 A320#1
5 17/09/24 A320#1
6 17/09/24 B737#1
7 17/09/24 B737#1
8 17/09/24 B737#1
9 17/09/24 A320#2
10 17/09/24 A320#2
11 17/09/24 A320#2
12 17/09/24 B737#2
13 17/09/24 B737#2
14 17/09/24 B737#2
15 17/09/24 A320#3
16 17/09/24 A320#3
17 17/09/24 A320#3
18 17/09/24 B737#3
19 17/09/24 B737#3
20 17/09/24 B737#4
21 17/09/24 B737#4
22 17/09/24 B737#4
23 17/09/24 B737#5
24 17/09/24 B737#5
25 17/09/24 B737#5
26 17/09/24 B737#6
27 17/09/24 B737#6
28 17/09/24 B737#6
#
