%Flight DepDate Aircraft
1 13/09/24 B737#1
2 13/09/24 B737#1
3 13/09/24 B737#1
4 13/09/24 B737#2
5 13/09/24 B737#2
6 13/09/24 B737#2
7 13/09/24 B737#2
9 13/09/24 A320#1
10 13/09/24 A320#1
11 13/09/24 A320#1
12 13/09/24 A320#2
13 13/09/24 A320#2
14 13/09/24 A320#2
15 13/09/24 A320#2
16 13/09/24 B737#3
17 13/09/24 B737#3
18 13/09/24 B737#3
19 13/09/24 B737#3
20 13/09/24 B737#4
21 13/09/24 B737#4
22 13/09/24 B737#4
23 13/09/24 A320#3
24 13/09/24 A320#3
25 13/09/24 A320#3
26 13/09/24 B737#5
27 13/09/24 B737#5
28 13/09/24 B737#5
29 13/09/24 B737#5
#
