%Flight DepDate Aircraft
1 07/09/24 B737#1
2 07/09/24 B737#1
3 07/09/24 B737#1
4 07/09/24 B737#1
5 07/09/24 B737#2
6 07/09/24 B737#2
7 07/09/24 B737#2
8 07/09/24 B737#2
9 07/09/24 B737#3
10 07/09/24 B737#3
11 07/09/24 B737#3
12 07/09/24 B737#3
13 07/09/24 B737#3
14 07/09/24 A320#1
15 07/09/24 A320#1
16 07/09/24 A320#1
17 07/09/24 A320#1
18 07/09/24 A320#1
19 07/09/24 B737#4
20 07/09/24 B737#4
21 07/09/24 B737#4
22 07/09/24 B737#4
23 07/09/24 A320#2
24 07/09/24 A320#2
25 07/09/24 A320#2
26 07/09/24 A320#2
27 07/09/24 B737#5
28 07/09/24 B737#5
29 07/09/24 B737#5
30 07/09/24 B737#5
31 07/09/24 B737#6
32 07/09/24 B737#6
33 07/09/24 B737#6
34 07/09/24 B737#6
35 07/09/24 A320#3
36 07/09/24 A320#3
37 07/09/24 A320#3
38 07/09/24 A320#3
39 07/09/24 B737#7
40 07/09/24 B737#7
#
