%Flight DepDate Aircraft
1 02/09/24 B737#1
2 02/09/24 B737#1
3 02/09/24 B737#1
4 02/09/24 B737#1
5 02/09/24 B737#2
6 02/09/24 B737#2
7 02/09/24 B737#2
8 02/09/24 B737#3
9 02/09/24 B737#3
10 02/09/24 B737#3
11 02/09/24 B737#4
12 02/09/24 B737#4
13 02/09/24 B737#4
14 02/09/24 A320#1
15 02/09/24 A320#1
16 02/09/24 A320#1
18 02/09/24 A320#2
19 02/09/24 A320#2
21 02/09/24 B737#5
22 02/09/24 B737#5
23 02/09/24 B737#5
24 02/09/24 B737#6
25 02/09/24 B737#6
26 02/09/24 B737#6
27 02/09/24 B737#7
28 02/09/24 B737#7
29 02/09/24 A320#3
30 02/09/24 A320#3
31 02/09/24 A320#3
32 02/09/24 A320#3
#
