%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH BRU 07:30 12:29 0
2 LHR BRU 12:57 16:33 0
3 ZRH CDG 19:06 20:30 0
4 IST ORY 20:35 21:36 0
5 ORY IST 08:00 11:11 0
6 IST BCN 13:25 18:04 0
7 BCN IST 20:25 22:53 0
8 IST CDG 06:00 07:46 0
9 MAD ORY 10:11 14:59 0
10 LHR FRA 17:21 21:32 0
11 MAD CPH 09:30 11:57 0
12 TXL BRU 13:37 18:35 0
13 FRA MUC 20:42 23:59 0
14 BRU MAD 09:15 13:33 0
15 LHR VIE 14:40 16:58 0
16 VIE IST 18:13 20:27 0
18 TXL DUB 10:30 14:18 0
19 ZRH BRU 15:14 19:02 0
21 AMS VIE 09:45 12:59 0
22 MAD CPH 13:43 17:52 0
23 VIE MAD 20:23 23:34 0
24 IST ORY 12:30 14:41 0
25 TXL ZRH 14:43 19:31 0
26 CDG LHR 20:34 21:35 0
29 VIE BCN 10:30 11:50 0
30 DUB BCN 11:57 16:03 0
31 IST ZRH 17:02 18:12 0
32 AMS LHR 20:34 22:05 0
#
