model_name,sequence_type,actions,reward
../trained_models/dqn_10000d_10u-1.zip,worst action sequence,"[array(0), array(0), array(5), array(3)]",-8504.0
../trained_models/dqn_10000d_10u-1.zip,best action sequence,"[array(2), array(2), array(5), array(4), array(4), array(2)]",6121.0
../trained_models/dqn_10000d_10u-2.zip,worst action sequence,"[array(0), array(2), array(0), array(0), array(5), array(0), array(3)]",-17536.0
../trained_models/dqn_10000d_10u-2.zip,best action sequence,"[array(2), array(2), array(2), array(5), array(1), array(0), array(0), array(4), array(1)]",6267.0
../trained_models/dqn_10000d_10u-3.zip,worst action sequence,"[array(0), array(0), array(0), array(5), array(3)]",-8509.0
../trained_models/dqn_10000d_10u-3.zip,best action sequence,"[array(2), array(2), array(2), array(5), array(5), array(6), array(0), array(4)]",6439.0
../trained_models/dqn_10000d_10u-4.zip,worst action sequence,"[array(0), array(2), array(0), array(0), array(0), array(3), array(2)]",-17436.0
../trained_models/dqn_10000d_10u-4.zip,best action sequence,"[array(2), array(2), array(5), array(5), array(1), array(2)]",6491.0
../trained_models/dqn_100d_10u-1.zip,worst action sequence,"[array(0), array(2), array(6), array(3)]",-7437.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(2), array(6), array(3), array(1)]",3700.0
../trained_models/dqn_100d_10u-2.zip,worst action sequence,"[array(0), array(0), array(5), array(3)]",-8504.0
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(2), array(4), array(0), array(3), array(6)]",3626.0
../trained_models/dqn_100d_10u-3.zip,worst action sequence,"[array(0), array(0), array(6), array(3)]",-8420.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(2), array(6), array(2), array(1)]",3885.0
../trained_models/dqn_100d_10u-1.zip,worst action sequence,"[array(0), array(2), array(1), array(6)]",-7096.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(2), array(2), array(2), array(6), array(5), array(1)]",2991.0
../trained_models/dqn_100d_10u-2.zip,worst action sequence,"[array(0), array(0), array(1), array(1)]",-8010
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(6), array(2), array(5)]",2823.0
../trained_models/dqn_100d_10u-3.zip,worst action sequence,"[array(5), array(1), array(4)]",2146.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(2), array(3), array(2), array(2)]",3326.0
