%Flight DepDate Aircraft
1 16/09/24 A320#1
2 16/09/24 A320#1
3 16/09/24 A320#1
4 16/09/24 A320#2
5 16/09/24 A320#2
6 16/09/24 A320#2
7 16/09/24 B737#1
8 16/09/24 B737#1
9 16/09/24 B737#1
10 16/09/24 B737#1
11 16/09/24 A320#3
12 16/09/24 A320#3
13 16/09/24 A320#3
14 16/09/24 B737#2
15 16/09/24 B737#2
16 16/09/24 B737#2
17 16/09/24 B737#3
18 16/09/24 B737#3
19 16/09/24 B737#3
20 16/09/24 B737#4
21 16/09/24 B737#4
22 16/09/24 B737#4
23 16/09/24 A320#4
24 16/09/24 A320#4
25 16/09/24 A320#4
26 16/09/24 A320#4
27 16/09/24 A320#5
28 16/09/24 A320#5
29 16/09/24 A320#5
#
