%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB CDG 12:30 13:36 0
2 ORY MUC 13:53 17:56 0
3 DUB MAD 20:30 00:58+1 0
4 IST TXL 12:00 16:12 0
5 DUB BCN 16:57 19:48 0
6 DUB ORY 21:12 01:51+1 0
7 TXL VIE 10:00 11:49 0
8 BRU ZRH 13:55 17:25 0
9 CPH AMS 18:04 19:38 0
10 AMS IST 22:01 01:08+1 0
11 ORY BCN 07:00 11:52 0
12 BCN LHR 13:20 15:35 0
13 MAD BRU 18:05 19:50 0
14 CDG MAD 21:11 23:51 0
15 ORY AMS 06:45 07:57 0
16 MUC DUB 09:55 12:04 0
17 ZRH AMS 13:49 16:55 0
18 BRU DUB 18:44 23:11 0
19 IST VIE 12:45 15:22 0
20 DUB ORY 16:51 21:03 0
21 CDG TXL 22:59 01:08+1 0
22 TXL AMS 06:30 10:21 0
23 MUC ZRH 10:59 13:37 0
24 MUC TXL 14:46 19:38 0
25 MUC TXL 22:12 00:41+1 0
26 IST TXL 11:45 16:40 0
27 MUC AMS 18:34 20:57 0
28 FRA VIE 21:49 23:24 0
29 VIE CPH 23:27 01:26+1 0
#
