%Flight DepDate Aircraft
1 19/09/24 A320#1
2 19/09/24 A320#1
3 19/09/24 A320#1
4 19/09/24 B737#1
5 19/09/24 B737#1
6 19/09/24 B737#1
7 19/09/24 B737#1
8 19/09/24 B737#2
9 19/09/24 B737#2
10 19/09/24 B737#2
11 19/09/24 B737#2
12 19/09/24 A320#2
13 19/09/24 A320#2
14 19/09/24 A320#2
15 19/09/24 A320#2
17 19/09/24 B737#3
18 19/09/24 B737#3
19 19/09/24 B737#3
20 19/09/24 A320#4
21 19/09/24 A320#4
22 19/09/24 A320#4
23 19/09/24 A320#5
24 19/09/24 A320#5
25 19/09/24 A320#5
26 19/09/24 A320#6
27 19/09/24 A320#6
28 19/09/24 A320#6
#
