%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH MAD 06:15 09:40 0
2 ZRH ORY 09:41 14:36 0
3 DUB VIE 15:36 19:18 0
4 FRA LHR 21:21 22:51 0
5 TXL FRA 12:30 16:36 0
6 VIE TXL 17:13 19:00 0
7 FRA BCN 21:32 23:32 0
8 ZRH BCN 11:15 12:57 0
9 BCN AMS 15:25 16:54 0
10 CPH BRU 17:16 20:07 0
11 CDG IST 22:50 01:35+1 0
12 MUC DUB 06:30 07:55 0
13 TXL CPH 09:00 10:17 0
14 ZRH BRU 11:35 16:14 0
15 DUB VIE 16:37 17:38 0
16 ZRH BCN 19:48 21:54 0
17 BRU IST 09:00 11:29 0
18 BCN LHR 14:28 16:46 0
19 MUC ORY 17:11 20:38 0
20 MAD IST 21:03 22:32 0
21 LHR BRU 08:15 13:02 0
22 ORY FRA 15:55 18:56 0
23 TXL ORY 19:16 21:08 0
24 BCN ZRH 21:14 23:23 0
25 BRU CDG 11:15 15:36 0
26 TXL CPH 15:45 17:56 0
27 LHR DUB 18:47 19:54 0
28 BRU MUC 19:59 00:08+1 0
29 ZRH FRA 09:00 10:40 0
30 MUC IST 10:43 14:45 0
31 TXL LHR 17:44 22:27 0
32 MAD BRU 10:00 13:01 0
#
