%Flight DepDate Aircraft
1 22/09/24 B737#1
2 22/09/24 B737#1
3 22/09/24 B737#1
4 22/09/24 B737#2
5 22/09/24 B737#2
6 22/09/24 B737#2
7 22/09/24 A320#1
8 22/09/24 A320#1
9 22/09/24 A320#1
10 22/09/24 A320#1
11 22/09/24 A320#1
12 22/09/24 B737#3
13 22/09/24 B737#3
14 22/09/24 B737#3
15 22/09/24 B737#4
16 22/09/24 B737#4
17 22/09/24 B737#4
18 22/09/24 B737#5
19 22/09/24 B737#5
20 22/09/24 B737#5
21 22/09/24 A320#2
22 22/09/24 A320#2
24 22/09/24 A320#3
25 22/09/24 A320#3
26 22/09/24 A320#3
27 22/09/24 A320#4
28 22/09/24 A320#4
29 22/09/24 A320#4
30 22/09/24 A320#5
31 22/09/24 A320#5
32 22/09/24 A320#5
#
