%Flight Orig Dest DepTime ArrTime PrevFlight
5 TXL DUB 07:15 11:44 0
6 IST FRA 13:31 16:30 0
7 CPH LHR 19:04 23:23 0
8 DUB ORY 09:15 11:44 0
9 BRU MUC 14:28 15:54 0
10 FRA MUC 15:59 20:58 0
11 AMS CPH 21:05 00:58+1 0
12 FRA BCN 06:30 08:49 0
13 MUC BRU 09:49 14:19 0
14 ORY DUB 15:51 20:31 0
16 BRU MAD 12:15 13:21 0
17 AMS DUB 14:30 16:53 0
18 CDG IST 17:01 18:43 0
19 AMS LHR 20:09 22:16 0
20 DUB AMS 11:00 12:53 0
21 LHR ZRH 15:21 17:58 0
22 CDG FRA 19:49 00:31+1 0
23 MAD CPH 11:45 13:02 0
24 CPH VIE 15:31 17:19 0
25 ZRH VIE 19:41 23:43 0
26 ZRH FRA 09:00 13:04 0
27 VIE ORY 13:24 17:53 0
28 LHR BRU 19:00 21:35 0
29 ORY BRU 21:44 00:23+1 0
30 MUC MAD 06:00 10:54 0
#
