%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB LHR 08:00 11:55 0
2 VIE CPH 14:38 19:25 0
3 ORY VIE 19:50 00:22+1 0
8 AMS MAD 10:15 14:39 0
9 DUB ORY 15:50 17:42 0
10 TXL ORY 19:43 23:59 0
11 ORY MUC 12:00 14:30 0
12 CPH MUC 14:37 17:54 0
13 AMS CDG 17:57 21:45 0
14 ZRH CPH 09:15 12:45 0
15 AMS MUC 15:33 18:38 0
16 CDG LHR 20:16 21:47 0
17 MUC DUB 07:15 10:23 0
18 AMS CDG 10:56 12:19 0
19 ZRH IST 13:45 16:45 0
20 FRA AMS 17:08 21:44 0
21 TXL CDG 07:15 11:50 0
22 BCN DUB 12:48 14:09 0
23 ZRH ORY 15:26 20:01 0
24 ORY LHR 20:18 21:28 0
#
