%Flight DepDate Aircraft
1 06/09/24 B737#1
2 06/09/24 B737#1
3 06/09/24 B737#1
4 06/09/24 A320#1
5 06/09/24 A320#1
6 06/09/24 A320#1
7 06/09/24 A320#1
8 06/09/24 B737#2
9 06/09/24 B737#2
10 06/09/24 B737#2
11 06/09/24 B737#2
12 06/09/24 B737#3
13 06/09/24 B737#3
14 06/09/24 B737#3
15 06/09/24 A320#2
16 06/09/24 A320#2
17 06/09/24 A320#2
18 06/09/24 B737#4
19 06/09/24 B737#4
20 06/09/24 B737#4
21 06/09/24 B737#4
22 06/09/24 B737#4
23 06/09/24 B737#5
24 06/09/24 B737#5
25 06/09/24 B737#5
26 06/09/24 B737#5
#
