%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH MAD 12:00 14:24 0
2 BCN IST 16:42 18:08 0
3 LHR BRU 20:04 00:30+1 0
4 ORY CPH 12:00 14:32 0
5 ZRH ORY 16:06 19:13 0
6 VIE AMS 20:45 21:45 0
7 TXL LHR 23:57 04:05+1 0
8 MAD CDG 07:00 09:25 0
9 ZRH AMS 11:52 15:48 0
10 TXL VIE 18:42 20:05 0
11 CPH ZRH 21:18 01:20+1 0
12 LHR FRA 11:45 15:14 0
13 BCN IST 17:25 20:29 0
14 BRU FRA 23:00 00:01+1 0
15 FRA LHR 09:30 11:35 0
16 CPH AMS 13:43 17:30 0
17 IST CPH 19:03 23:44 0
18 TXL MUC 06:15 07:15 0
19 IST MAD 10:05 13:21 0
20 BCN LHR 14:54 16:44 0
21 DUB ZRH 19:40 20:53 0
22 TXL BCN 22:42 00:38+1 0
23 IST BCN 09:45 13:25 0
24 MAD AMS 14:59 16:34 0
25 FRA CPH 16:59 20:23 0
26 MAD ORY 21:48 02:40+1 0
#
