%Flight DepDate Aircraft
1 18/09/24 B737#1
2 18/09/24 B737#1
3 18/09/24 B737#1
4 18/09/24 B737#1
5 18/09/24 A320#1
6 18/09/24 A320#1
7 18/09/24 A320#1
8 18/09/24 A320#1
9 18/09/24 B737#2
10 18/09/24 B737#2
11 18/09/24 B737#2
12 18/09/24 A320#2
13 18/09/24 A320#2
14 18/09/24 A320#2
15 18/09/24 B737#3
16 18/09/24 B737#3
17 18/09/24 B737#3
18 18/09/24 B737#3
19 18/09/24 B737#4
20 18/09/24 B737#4
21 18/09/24 B737#4
22 18/09/24 B737#4
23 18/09/24 B737#5
24 18/09/24 B737#5
25 18/09/24 B737#5
26 18/09/24 B737#5
27 18/09/24 A320#3
28 18/09/24 A320#3
29 18/09/24 A320#3
30 18/09/24 A320#3
31 18/09/24 A320#4
32 18/09/24 A320#4
33 18/09/24 A320#4
34 18/09/24 A320#4
35 18/09/24 A320#5
36 18/09/24 A320#5
37 18/09/24 A320#5
38 18/09/24 A320#5
#
