%Flight Orig Dest DepTime ArrTime PrevFlight
1 ORY IST 10:00 14:50 0
2 BCN FRA 15:59 19:47 0
3 DUB BCN 20:35 01:33+1 0
4 AMS DUB 06:00 07:48 0
5 MAD CDG 08:20 09:26 0
6 IST MAD 10:18 13:14 0
7 BCN VIE 15:09 17:21 0
8 DUB CDG 19:28 21:30 0
9 CDG FRA 11:45 14:07 0
10 MAD DUB 16:50 20:21 0
11 VIE ORY 20:53 01:09+1 0
16 CDG DUB 12:15 16:57 0
17 DUB FRA 18:43 22:26 0
18 AMS ORY 11:15 15:52 0
19 DUB VIE 16:35 18:25 0
20 CDG CPH 19:36 21:46 0
21 ZRH BRU 22:16 00:42+1 0
22 CPH LHR 07:45 11:33 0
23 CDG IST 12:11 16:23 0
24 TXL AMS 18:48 19:50 0
25 IST MUC 22:41 01:19+1 0
26 FRA IST 08:45 12:13 0
27 CDG ZRH 13:11 15:53 0
28 MUC IST 17:25 19:46 0
29 AMS TXL 20:52 01:29+1 0
#
