%Flight DepDate Aircraft
1 03/09/24 B737#1
2 03/09/24 B737#1
3 03/09/24 B737#1
5 03/09/24 A320#1
6 03/09/24 A320#1
7 03/09/24 A320#1
8 03/09/24 A320#2
9 03/09/24 A320#2
10 03/09/24 A320#2
11 03/09/24 B737#2
12 03/09/24 B737#2
13 03/09/24 B737#2
15 03/09/24 B737#3
16 03/09/24 B737#3
17 03/09/24 B737#3
18 03/09/24 B737#3
19 03/09/24 A320#3
20 03/09/24 A320#3
21 03/09/24 A320#3
22 03/09/24 A320#3
24 03/09/24 A320#4
25 03/09/24 A320#4
26 03/09/24 A320#4
27 03/09/24 A320#4
28 03/09/24 A320#5
29 03/09/24 A320#5
30 03/09/24 A320#5
31 03/09/24 A320#5
#
