%Flight Orig Dest DepTime ArrTime PrevFlight
1 CDG VIE 12:45 17:11 0
2 ZRH BCN 18:31 21:24 0
4 CDG ZRH 12:45 16:41 0
5 BCN ZRH 18:25 19:35 0
6 FRA BCN 20:08 21:48 0
7 CPH BRU 22:03 00:18+1 0
8 AMS ZRH 11:00 13:20 0
9 CDG IST 13:21 17:13 0
10 MAD VIE 17:23 19:09 0
11 VIE AMS 20:05 00:14+1 0
12 CDG LHR 10:15 12:17 0
13 FRA MUC 12:39 17:08 0
14 BCN TXL 18:08 21:40 0
15 BRU VIE 23:13 03:32+1 0
20 MAD ORY 09:15 10:43 0
21 VIE DUB 12:41 13:50 0
22 MUC CPH 15:43 20:03 0
23 VIE FRA 20:54 00:26+1 0
24 BRU MUC 09:15 12:13 0
25 BCN CDG 12:48 15:42 0
26 ZRH CPH 16:49 21:34 0
27 BCN ZRH 21:41 23:16 0
#
