%Flight DepDate Aircraft
1 05/09/24 B737#1
2 05/09/24 B737#1
3 05/09/24 B737#1
4 05/09/24 A320#1
5 05/09/24 A320#1
6 05/09/24 A320#1
9 05/09/24 A320#3
10 05/09/24 A320#3
11 05/09/24 A320#3
12 05/09/24 B737#2
13 05/09/24 B737#2
14 05/09/24 B737#2
15 05/09/24 B737#3
16 05/09/24 B737#3
17 05/09/24 B737#3
18 05/09/24 B737#3
19 05/09/24 B737#4
20 05/09/24 B737#4
21 05/09/24 B737#4
23 05/09/24 B737#5
24 05/09/24 B737#5
25 05/09/24 B737#5
26 05/09/24 B737#5
27 05/09/24 A320#4
28 05/09/24 A320#4
29 05/09/24 A320#4
30 05/09/24 A320#4
31 05/09/24 B737#6
32 05/09/24 B737#6
#
