%Flight DepDate Aircraft
1 09/09/24 B737#1
2 09/09/24 B737#1
3 09/09/24 B737#1
4 09/09/24 A320#1
5 09/09/24 A320#1
6 09/09/24 A320#1
7 09/09/24 A320#1
8 09/09/24 A320#2
9 09/09/24 A320#2
10 09/09/24 A320#2
11 09/09/24 A320#2
12 09/09/24 B737#2
13 09/09/24 B737#2
14 09/09/24 B737#2
15 09/09/24 B737#3
16 09/09/24 B737#3
17 09/09/24 B737#3
18 09/09/24 A320#3
19 09/09/24 A320#3
20 09/09/24 B737#4
21 09/09/24 B737#4
22 09/09/24 B737#4
23 09/09/24 B737#5
24 09/09/24 B737#5
25 09/09/24 B737#5
26 09/09/24 B737#6
27 09/09/24 B737#6
28 09/09/24 B737#6
29 09/09/24 B737#6
30 09/09/24 B737#6
31 09/09/24 A320#4
32 09/09/24 A320#4
33 09/09/24 A320#4
34 09/09/24 A320#5
35 09/09/24 A320#5
36 09/09/24 A320#5
37 09/09/24 A320#5
38 09/09/24 B737#7
39 09/09/24 B737#7
#
