%Flight DepDate Aircraft
1 08/09/24 B737#1
2 08/09/24 B737#1
3 08/09/24 B737#1
4 08/09/24 B737#1
5 08/09/24 B737#2
6 08/09/24 B737#2
7 08/09/24 B737#2
10 08/09/24 A320#1
11 08/09/24 A320#1
12 08/09/24 A320#1
13 08/09/24 A320#1
14 08/09/24 A320#2
15 08/09/24 A320#2
16 08/09/24 A320#2
18 08/09/24 B737#4
19 08/09/24 B737#4
20 08/09/24 B737#4
21 08/09/24 B737#4
22 08/09/24 A320#3
23 08/09/24 A320#3
24 08/09/24 A320#3
25 08/09/24 A320#3
26 08/09/24 B737#5
27 08/09/24 B737#5
28 08/09/24 B737#5
30 08/09/24 B737#6
31 08/09/24 B737#6
32 08/09/24 B737#6
33 08/09/24 B737#6
34 08/09/24 B737#6
35 08/09/24 A320#4
36 08/09/24 A320#4
37 08/09/24 A320#4
#
