%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB IST 12:45 17:11 0
2 ZRH CPH 17:28 19:51 0
3 IST LHR 20:48 22:30 0
4 CDG AMS 22:46 00:13+1 0
5 CDG ZRH 12:30 17:27 0
6 IST BRU 18:00 19:16 0
7 BCN BRU 19:52 21:25 0
10 TXL DUB 07:30 11:30 0
11 CPH MAD 11:53 14:46 0
12 AMS BRU 15:33 17:30 0
13 IST BCN 18:47 20:57 0
14 DUB MAD 10:15 15:02 0
15 DUB AMS 15:23 16:30 0
16 CPH VIE 17:05 21:01 0
18 BCN CPH 10:15 13:07 0
19 VIE MAD 13:25 16:57 0
20 BCN TXL 19:53 22:04 0
21 MUC ORY 22:33 02:25+1 0
22 ORY MAD 11:00 12:25 0
23 ORY VIE 13:02 15:01 0
24 ORY MUC 15:06 18:24 0
25 ZRH LHR 21:13 23:55 0
26 MAD AMS 10:45 14:08 0
27 ZRH VIE 17:00 18:30 0
28 CPH IST 19:32 21:50 0
35 VIE AMS 10:30 13:03 0
36 BCN AMS 14:55 19:23 0
37 ORY IST 20:19 23:57 0
#
