%Flight DepDate Aircraft
1 06/09/24 B737#1
2 06/09/24 B737#1
3 06/09/24 B737#1
4 06/09/24 B737#2
5 06/09/24 B737#2
6 06/09/24 B737#2
7 06/09/24 B737#2
8 06/09/24 B737#3
9 06/09/24 B737#3
10 06/09/24 B737#3
11 06/09/24 B737#4
12 06/09/24 B737#4
13 06/09/24 B737#4
14 06/09/24 A320#1
15 06/09/24 A320#1
16 06/09/24 A320#1
17 06/09/24 A320#1
18 06/09/24 B737#5
19 06/09/24 B737#5
20 06/09/24 B737#5
21 06/09/24 A320#2
22 06/09/24 A320#2
23 06/09/24 A320#2
24 06/09/24 A320#2
25 06/09/24 A320#3
26 06/09/24 A320#3
27 06/09/24 A320#3
#
