%Flight DepDate Aircraft
1 18/09/24 A320#1
2 18/09/24 A320#1
3 18/09/24 A320#1
4 18/09/24 A320#1
5 18/09/24 A320#1
6 18/09/24 B737#1
7 18/09/24 B737#1
8 18/09/24 B737#1
9 18/09/24 B737#2
10 18/09/24 B737#2
11 18/09/24 B737#2
12 18/09/24 B737#2
13 18/09/24 B737#3
14 18/09/24 B737#3
15 18/09/24 B737#3
16 18/09/24 A320#2
17 18/09/24 A320#2
18 18/09/24 A320#2
19 18/09/24 A320#2
20 18/09/24 B737#4
21 18/09/24 B737#4
22 18/09/24 B737#4
23 18/09/24 A320#3
24 18/09/24 A320#3
25 18/09/24 A320#3
26 18/09/24 A320#3
27 18/09/24 B737#5
28 18/09/24 B737#5
29 18/09/24 B737#5
30 18/09/24 B737#5
31 18/09/24 B737#6
32 18/09/24 B737#6
33 18/09/24 B737#6
34 18/09/24 B737#6
35 18/09/24 B737#6
#
