%Flight Orig Dest DepTime ArrTime PrevFlight
1 AMS DUB 07:30 10:17 0
2 BCN DUB 13:04 15:05 0
3 FRA AMS 15:25 18:20 0
4 MUC MAD 19:04 21:05 0
5 MUC VIE 22:07 02:55+1 0
6 ORY FRA 09:30 13:11 0
7 LHR ORY 14:55 17:07 0
8 BRU BCN 19:42 23:57 0
13 AMS MUC 09:30 13:09 0
14 TXL LHR 15:33 19:16 0
15 IST DUB 21:12 23:42 0
16 VIE ORY 08:15 13:03 0
17 VIE DUB 13:13 16:17 0
18 DUB CDG 19:02 21:23 0
19 ZRH VIE 23:01 01:32+1 0
20 MUC AMS 10:15 13:46 0
21 AMS FRA 15:36 19:59 0
22 ORY IST 20:42 00:32+1 0
23 DUB TXL 08:15 12:34 0
24 TXL BCN 14:56 18:50 0
25 TXL ZRH 20:42 22:17 0
26 BCN CDG 23:33 01:54+1 0
27 CPH ORY 11:45 13:19 0
28 LHR VIE 15:01 17:06 0
29 CPH DUB 18:55 21:06 0
30 TXL AMS 23:16 03:31+1 0
31 TXL ORY 06:00 08:35 0
32 BRU DUB 10:13 13:29 0
33 ORY CPH 13:37 15:23 0
34 MUC ORY 16:28 18:24 0
35 ZRH FRA 18:57 20:53 0
#
