model_name,sequence_type,actions,reward
../trained_models/dqn_10000d_10u-1.zip,worst action sequence,"[array(0), array(0), array(0), array(0)]",-10015
../trained_models/dqn_10000d_10u-1.zip,best action sequence,"[array(1), array(2), array(1), array(3)]",3944.0
../trained_models/dqn_10000d_10u-2.zip,worst action sequence,"[array(0), array(0), array(0), array(0)]",-10015
../trained_models/dqn_10000d_10u-2.zip,best action sequence,"[array(1), array(2), array(1), array(3)]",3944.0
../trained_models/dqn_10000d_10u-3.zip,worst action sequence,"[array(1), array(0), array(0), array(0)]",-9066.0
../trained_models/dqn_10000d_10u-3.zip,best action sequence,"[array(1), array(2), array(1), array(3)]",3944.0
../trained_models/dqn_10000d_10u-4.zip,worst action sequence,"[array(0), array(0), array(0), array(0)]",-10015
../trained_models/dqn_10000d_10u-4.zip,best action sequence,"[array(1), array(2), array(1), array(3)]",3944.0
../trained_models/dqn_100d_10u-1.zip,worst action sequence,[array(6)],778.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(1), array(3)]",1944.0
../trained_models/dqn_100d_10u-2.zip,worst action sequence,"[array(0), array(6)]",773.0
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(1), array(5)]",1823.0
../trained_models/dqn_100d_10u-3.zip,worst action sequence,[array(6)],778.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(1), array(4)]",1831.0
../trained_models/dqn_100d_10u-1.zip,worst action sequence,[array(6)],778.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(1), array(2), array(6)]",2722.0
../trained_models/dqn_100d_10u-2.zip,worst action sequence,[array(6)],778.0
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(1), array(0), array(4)]",1826.0
../trained_models/dqn_100d_10u-3.zip,worst action sequence,[array(6)],778.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(1), array(2), array(2)]",2729.0
