%Flight DepDate Aircraft
1 16/09/24 B737#1
2 16/09/24 B737#1
3 16/09/24 B737#1
4 16/09/24 B737#1
5 16/09/24 A320#1
6 16/09/24 A320#1
7 16/09/24 A320#1
8 16/09/24 A320#2
9 16/09/24 A320#2
10 16/09/24 A320#2
11 16/09/24 A320#2
12 16/09/24 A320#3
13 16/09/24 A320#3
14 16/09/24 A320#3
15 16/09/24 A320#3
16 16/09/24 A320#4
17 16/09/24 A320#4
18 16/09/24 A320#4
19 16/09/24 A320#4
20 16/09/24 B737#2
21 16/09/24 B737#2
22 16/09/24 B737#2
23 16/09/24 B737#3
24 16/09/24 B737#3
25 16/09/24 B737#3
26 16/09/24 B737#3
27 16/09/24 B737#4
28 16/09/24 B737#4
29 16/09/24 B737#4
30 16/09/24 A320#5
31 16/09/24 A320#5
32 16/09/24 A320#5
#
