%Flight Orig Dest DepTime ArrTime PrevFlight
1 LHR VIE 07:00 10:23 0
2 AMS TXL 13:02 14:13 0
3 MUC DUB 16:19 20:58 0
4 CPH MUC 22:25 02:22+1 0
5 CDG DUB 07:15 09:43 0
6 ORY AMS 11:20 15:22 0
7 IST LHR 18:11 21:33 0
8 DUB VIE 22:40 02:25+1 0
13 CPH LHR 12:00 13:32 0
14 TXL CDG 14:51 16:07 0
15 DUB FRA 17:08 19:32 0
16 DUB MAD 22:10 02:43+1 0
17 IST DUB 08:00 09:14 0
18 BRU CPH 10:17 13:53 0
19 CPH VIE 15:50 18:02 0
20 FRA LHR 20:42 01:26+1 0
21 BRU ORY 07:30 12:06 0
22 MUC LHR 14:05 16:26 0
23 VIE ZRH 18:30 20:36 0
24 LHR BRU 23:21 01:34+1 0
#
