%Flight Orig Dest DepTime ArrTime PrevFlight
1 CDG BCN 07:45 10:05 0
2 DUB LHR 11:25 12:57 0
3 CDG BRU 14:42 19:23 0
4 MAD AMS 19:26 22:40 0
5 AMS VIE 09:30 12:16 0
6 MAD BCN 14:52 16:29 0
7 FRA CDG 18:49 23:27 0
8 FRA VIE 07:15 12:10 0
9 MUC DUB 14:18 19:07 0
10 DUB BRU 21:13 01:20+1 0
11 MUC VIE 09:00 11:43 0
12 DUB BCN 12:35 15:45 0
13 BCN MAD 16:06 18:47 0
14 CDG TXL 21:42 00:06+1 0
15 MAD CDG 11:15 15:38 0
16 LHR BCN 17:12 20:22 0
17 AMS LHR 20:49 00:10+1 0
18 MUC BCN 08:00 12:13 0
19 FRA ORY 13:18 15:49 0
20 MAD BCN 17:03 20:08 0
21 MAD DUB 20:17 00:45+1 0
22 AMS ZRH 08:30 10:00 0
23 ORY IST 11:49 16:21 0
24 ORY DUB 18:47 20:15 0
25 ZRH BRU 20:31 22:03 0
26 ZRH LHR 09:45 11:55 0
27 CPH TXL 13:58 16:51 0
28 DUB BRU 18:11 20:18 0
29 BCN LHR 22:22 00:02+1 0
#
