%Flight DepDate Aircraft
1 30/09/24 B737#1
2 30/09/24 B737#1
3 30/09/24 B737#1
4 30/09/24 B737#1
5 30/09/24 A320#1
6 30/09/24 A320#1
7 30/09/24 A320#1
8 30/09/24 A320#1
9 30/09/24 A320#2
10 30/09/24 A320#2
11 30/09/24 A320#2
12 30/09/24 A320#2
13 30/09/24 A320#3
14 30/09/24 A320#3
15 30/09/24 A320#3
16 30/09/24 A320#3
17 30/09/24 A320#4
18 30/09/24 A320#4
19 30/09/24 A320#4
20 30/09/24 A320#4
21 30/09/24 B737#2
22 30/09/24 B737#2
23 30/09/24 B737#2
24 30/09/24 B737#2
25 30/09/24 B737#3
26 30/09/24 B737#3
27 30/09/24 B737#3
28 30/09/24 B737#3
29 30/09/24 A320#5
30 30/09/24 A320#5
31 30/09/24 A320#5
32 30/09/24 A320#6
33 30/09/24 A320#6
34 30/09/24 A320#6
35 30/09/24 A320#6
36 30/09/24 A320#7
37 30/09/24 A320#7
38 30/09/24 A320#7
39 30/09/24 A320#7
#
