%Flight Orig Dest DepTime ArrTime PrevFlight
1 TXL MAD 11:00 14:48 0
2 ORY CDG 15:16 18:41 0
3 LHR FRA 19:05 20:16 0
4 IST TXL 08:15 09:50 0
5 BRU FRA 09:54 12:40 0
6 ORY TXL 14:32 16:55 0
7 VIE TXL 17:26 20:55 0
8 ZRH VIE 06:00 10:44 0
9 AMS IST 13:10 15:03 0
10 AMS CPH 16:21 19:21 0
11 IST ORY 21:16 01:16+1 0
12 BRU FRA 07:15 10:07 0
13 BRU CPH 12:35 15:29 0
14 ORY AMS 18:11 21:18 0
15 AMS ORY 06:15 10:30 0
16 TXL CPH 11:10 16:07 0
17 CDG DUB 17:41 22:24 0
18 VIE BCN 10:15 11:36 0
19 AMS BRU 13:45 16:27 0
20 ORY BCN 17:46 21:14 0
21 DUB MAD 09:30 13:06 0
22 ORY DUB 14:51 16:01 0
23 MAD ZRH 16:38 19:13 0
24 TXL MAD 21:28 00:32+1 0
25 VIE MAD 07:45 10:13 0
26 BRU BCN 12:01 13:39 0
27 CDG BRU 16:16 20:45 0
28 ORY TXL 06:15 08:56 0
29 LHR MUC 09:38 11:10 0
30 IST ORY 12:22 14:49 0
31 MUC CPH 15:52 17:10 0
32 ZRH BCN 17:24 19:24 0
33 MAD ORY 20:49 01:38+1 0
34 CDG AMS 07:15 09:29 0
35 DUB LHR 09:43 11:38 0
36 MAD FRA 12:12 14:15 0
37 TXL BRU 15:37 19:01 0
#
