%Flight DepDate Aircraft
1 20/09/24 B737#1
2 20/09/24 B737#1
3 20/09/24 B737#1
4 20/09/24 A320#1
5 20/09/24 A320#1
6 20/09/24 A320#1
7 20/09/24 A320#1
8 20/09/24 B737#2
9 20/09/24 B737#2
10 20/09/24 B737#2
11 20/09/24 B737#2
12 20/09/24 B737#3
13 20/09/24 B737#3
14 20/09/24 B737#3
15 20/09/24 A320#2
16 20/09/24 A320#2
17 20/09/24 A320#2
18 20/09/24 B737#4
19 20/09/24 B737#4
20 20/09/24 B737#4
21 20/09/24 B737#5
22 20/09/24 B737#5
23 20/09/24 B737#5
24 20/09/24 B737#5
25 20/09/24 A320#3
26 20/09/24 A320#3
27 20/09/24 A320#3
28 20/09/24 A320#4
29 20/09/24 A320#4
30 20/09/24 A320#4
31 20/09/24 A320#4
32 20/09/24 A320#4
33 20/09/24 A320#4
34 20/09/24 A320#5
35 20/09/24 A320#5
36 20/09/24 A320#5
37 20/09/24 A320#5
#
