%Flight DepDate Aircraft
1 22/09/24 A320#1
2 22/09/24 A320#1
3 22/09/24 A320#1
4 22/09/24 B737#1
5 22/09/24 B737#1
6 22/09/24 B737#1
7 22/09/24 B737#1
9 22/09/24 B737#2
10 22/09/24 B737#2
11 22/09/24 B737#2
12 22/09/24 A320#2
13 22/09/24 A320#2
14 22/09/24 A320#2
15 22/09/24 A320#3
16 22/09/24 A320#3
17 22/09/24 A320#3
18 22/09/24 B737#3
19 22/09/24 B737#3
20 22/09/24 B737#3
21 22/09/24 B737#4
22 22/09/24 B737#4
23 22/09/24 B737#4
24 22/09/24 B737#4
25 22/09/24 A320#4
26 22/09/24 A320#4
27 22/09/24 A320#4
28 22/09/24 B737#5
29 22/09/24 B737#5
30 22/09/24 B737#5
31 22/09/24 B737#5
32 22/09/24 A320#5
33 22/09/24 A320#5
34 22/09/24 A320#5
35 22/09/24 A320#5
#
