%Flight DepDate Aircraft
1 09/09/24 B737#1
2 09/09/24 B737#1
3 09/09/24 B737#1
4 09/09/24 B737#2
5 09/09/24 B737#2
6 09/09/24 B737#2
7 09/09/24 B737#2
8 09/09/24 B737#3
9 09/09/24 B737#3
10 09/09/24 B737#3
11 09/09/24 B737#4
12 09/09/24 B737#4
14 09/09/24 A320#1
15 09/09/24 A320#1
16 09/09/24 A320#1
17 09/09/24 B737#5
18 09/09/24 B737#5
19 09/09/24 B737#5
20 09/09/24 A320#2
21 09/09/24 A320#2
22 09/09/24 A320#2
23 09/09/24 A320#3
24 09/09/24 A320#3
25 09/09/24 A320#3
26 09/09/24 A320#4
27 09/09/24 A320#4
28 09/09/24 A320#4
29 09/09/24 A320#4
30 09/09/24 B737#6
31 09/09/24 B737#6
32 09/09/24 B737#6
33 09/09/24 B737#6
#
