%Flight Orig Dest DepTime ArrTime PrevFlight
4 FRA CDG 09:15 13:54 0
5 VIE FRA 15:22 16:38 0
6 FRA MUC 17:35 18:55 0
7 BRU ORY 21:14 00:31+1 0
8 BRU ZRH 12:45 15:08 0
9 MUC MAD 16:20 20:01 0
10 MUC AMS 21:23 00:36+1 0
11 MAD DUB 12:45 14:55 0
12 AMS IST 16:49 20:56 0
14 FRA CPH 12:15 13:55 0
15 BRU IST 14:54 19:06 0
16 MAD BRU 19:27 23:22 0
17 LHR ORY 09:00 12:03 0
18 MUC VIE 14:24 19:20 0
19 TXL IST 21:48 02:45+1 0
20 BRU ZRH 09:15 12:32 0
21 MAD BRU 15:03 18:08 0
22 MAD BRU 20:41 22:07 0
23 LHR BCN 11:45 13:09 0
24 FRA ORY 14:46 19:42 0
25 MAD FRA 22:08 00:16+1 0
26 AMS ZRH 09:30 13:55 0
27 LHR ORY 15:36 18:56 0
28 VIE MAD 19:23 21:43 0
29 MAD MUC 22:46 02:28+1 0
30 CDG IST 06:30 10:17 0
31 CDG FRA 11:36 16:30 0
32 CPH DUB 16:49 18:53 0
33 LHR MUC 21:12 01:18+1 0
#
