%Flight DepDate Aircraft
1 03/09/24 A320#1
2 03/09/24 A320#1
3 03/09/24 A320#1
4 03/09/24 A320#1
5 03/09/24 B737#1
6 03/09/24 B737#1
7 03/09/24 B737#1
8 03/09/24 B737#1
9 03/09/24 A320#2
10 03/09/24 A320#2
11 03/09/24 A320#2
12 03/09/24 A320#2
13 03/09/24 A320#3
14 03/09/24 A320#3
15 03/09/24 A320#3
17 03/09/24 A320#4
18 03/09/24 A320#4
19 03/09/24 A320#4
20 03/09/24 A320#5
21 03/09/24 A320#5
22 03/09/24 A320#5
23 03/09/24 A320#5
24 03/09/24 A320#6
25 03/09/24 A320#6
26 03/09/24 A320#6
27 03/09/24 A320#6
28 03/09/24 A320#6
29 03/09/24 A320#7
30 03/09/24 A320#7
31 03/09/24 A320#7
32 03/09/24 A320#7
#
