%Flight Orig Dest DepTime ArrTime PrevFlight
1 IST TXL 07:45 11:09 0
2 FRA ORY 13:03 14:49 0
3 MAD FRA 15:35 18:31 0
4 MAD FRA 19:51 00:20+1 0
5 TXL ZRH 10:00 11:29 0
6 TXL ZRH 14:22 16:10 0
7 TXL ORY 17:14 20:40 0
8 DUB ORY 21:32 02:22+1 0
9 BCN AMS 10:15 12:58 0
10 MUC CDG 13:14 15:54 0
11 BCN TXL 16:26 18:02 0
12 DUB VIE 19:29 23:48 0
13 MUC DUB 07:15 09:00 0
14 AMS TXL 11:58 16:17 0
15 IST MUC 17:32 21:20 0
17 ORY IST 12:00 15:15 0
18 BRU IST 15:33 19:25 0
19 VIE CPH 21:35 02:11+1 0
20 BCN AMS 07:00 10:27 0
21 IST VIE 12:02 13:37 0
22 ZRH LHR 16:14 20:20 0
23 VIE DUB 22:29 23:55 0
24 TXL IST 06:00 10:35 0
25 BCN AMS 10:40 12:18 0
26 FRA IST 13:44 16:10 0
27 FRA TXL 17:24 20:23 0
28 DUB IST 20:33 21:56 0
#
