%Flight DepDate Aircraft
1 08/09/24 B737#1
2 08/09/24 B737#1
3 08/09/24 B737#1
4 08/09/24 A320#1
5 08/09/24 A320#1
6 08/09/24 A320#1
8 08/09/24 A320#3
9 08/09/24 A320#3
10 08/09/24 A320#3
11 08/09/24 B737#2
12 08/09/24 B737#2
13 08/09/24 B737#2
14 08/09/24 B737#2
15 08/09/24 B737#3
16 08/09/24 B737#3
17 08/09/24 B737#3
18 08/09/24 B737#3
19 08/09/24 A320#4
20 08/09/24 A320#4
21 08/09/24 A320#4
22 08/09/24 B737#4
23 08/09/24 B737#4
24 08/09/24 B737#4
25 08/09/24 B737#5
26 08/09/24 B737#5
27 08/09/24 B737#5
28 08/09/24 B737#5
29 08/09/24 B737#6
#
