%Flight DepDate Aircraft
1 16/09/24 A320#1
2 16/09/24 A320#1
3 16/09/24 A320#1
5 16/09/24 A320#2
6 16/09/24 A320#2
7 16/09/24 A320#2
8 16/09/24 A320#2
9 16/09/24 A320#3
10 16/09/24 A320#3
11 16/09/24 A320#3
12 16/09/24 A320#3
13 16/09/24 A320#4
14 16/09/24 A320#4
15 16/09/24 A320#4
16 16/09/24 A320#4
17 16/09/24 A320#4
19 16/09/24 A320#5
20 16/09/24 A320#5
21 16/09/24 A320#5
22 16/09/24 B737#2
23 16/09/24 B737#2
24 16/09/24 B737#2
25 16/09/24 A320#6
26 16/09/24 A320#6
27 16/09/24 A320#6
28 16/09/24 A320#6
29 16/09/24 A320#7
30 16/09/24 A320#7
31 16/09/24 A320#7
#
