%Flight DepDate Aircraft
1 02/09/24 A320#1
2 02/09/24 A320#1
3 02/09/24 A320#1
4 02/09/24 A320#1
5 02/09/24 A320#2
6 02/09/24 A320#2
8 02/09/24 B737#1
9 02/09/24 B737#1
10 02/09/24 B737#1
11 02/09/24 A320#3
12 02/09/24 A320#3
13 02/09/24 A320#3
14 02/09/24 A320#3
15 02/09/24 A320#4
16 02/09/24 A320#4
17 02/09/24 A320#4
18 02/09/24 B737#2
19 02/09/24 B737#2
20 02/09/24 B737#2
21 02/09/24 B737#2
22 02/09/24 B737#3
23 02/09/24 B737#3
24 02/09/24 B737#3
25 02/09/24 B737#4
26 02/09/24 B737#4
27 02/09/24 B737#4
#
