%Flight Orig Dest DepTime ArrTime PrevFlight
1 BCN ZRH 10:45 15:34 0
2 MAD MUC 16:37 18:25 0
3 AMS VIE 19:16 22:38 0
4 MUC ORY 23:17 03:23+1 0
5 LHR MUC 09:00 10:54 0
6 LHR ORY 11:10 12:57 0
7 IST DUB 15:48 20:38 0
8 CPH VIE 22:00 01:33+1 0
9 CDG VIE 10:00 14:21 0
10 MUC IST 14:44 17:21 0
11 BCN DUB 19:57 00:39+1 0
12 BCN CDG 06:00 07:55 0
13 ORY MUC 08:42 11:24 0
14 BCN BRU 12:46 15:50 0
15 BRU ZRH 17:20 19:03 0
16 MUC BCN 07:30 08:31 0
17 MUC CDG 11:11 14:27 0
18 BCN LHR 15:59 17:45 0
19 MUC AMS 19:40 21:00 0
20 ZRH TXL 23:39 04:28+1 0
21 CPH MAD 11:15 14:14 0
22 ORY CDG 14:47 19:36 0
23 LHR ZRH 22:09 01:48+1 0
29 DUB BCN 11:15 15:12 0
30 AMS MUC 16:52 21:35 0
31 TXL CPH 22:00 23:04 0
#
