%Flight Orig Dest DepTime ArrTime PrevFlight
1 CPH ORY 09:00 12:33 0
2 BCN MAD 13:18 15:39 0
3 LHR TXL 15:46 18:42 0
5 DUB VIE 07:00 09:19 0
6 DUB CPH 11:44 16:38 0
7 IST MAD 18:00 22:16 0
8 VIE DUB 10:00 12:43 0
9 DUB BCN 14:44 17:45 0
10 VIE TXL 19:26 22:28 0
11 AMS ZRH 10:15 14:57 0
12 VIE ZRH 15:38 20:03 0
13 FRA AMS 20:43 23:59 0
14 DUB MAD 08:30 11:01 0
15 MUC BRU 11:44 16:24 0
16 VIE IST 17:10 20:26 0
18 DUB MUC 07:00 10:49 0
19 ORY CDG 13:41 16:13 0
20 BRU BCN 19:06 21:41 0
24 MUC DUB 12:00 16:30 0
25 ORY CDG 18:39 20:57 0
#
