%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB VIE 07:30 09:53 0
2 BCN MAD 12:19 14:35 0
3 TXL LHR 15:19 18:53 0
4 AMS ORY 20:55 00:26+1 0
5 ORY VIE 08:00 09:51 0
6 MUC MAD 10:52 12:47 0
7 BRU CPH 14:54 19:20 0
9 AMS VIE 10:45 13:41 0
10 VIE CPH 15:17 16:55 0
11 CDG BRU 17:36 21:33 0
12 LHR CDG 11:00 15:28 0
13 MAD VIE 18:15 22:44 0
14 CDG BRU 12:45 15:58 0
15 CDG ZRH 17:39 22:13 0
16 LHR AMS 10:45 13:01 0
17 IST CDG 13:35 17:03 0
18 BRU MUC 19:58 00:21+1 0
19 CPH TXL 09:30 12:38 0
20 ORY VIE 15:02 18:53 0
21 CDG DUB 20:44 23:46 0
22 CDG TXL 11:30 14:55 0
23 ZRH CDG 16:33 20:49 0
#
