%Flight DepDate Aircraft
1 02/09/24 B737#1
2 02/09/24 B737#1
3 02/09/24 B737#1
4 02/09/24 B737#1
5 02/09/24 A320#1
6 02/09/24 A320#1
7 02/09/24 A320#1
9 02/09/24 B737#2
10 02/09/24 B737#2
11 02/09/24 B737#2
12 02/09/24 A320#2
13 02/09/24 A320#2
14 02/09/24 B737#3
15 02/09/24 B737#3
16 02/09/24 B737#4
17 02/09/24 B737#4
18 02/09/24 B737#4
19 02/09/24 A320#3
20 02/09/24 A320#3
21 02/09/24 A320#3
22 02/09/24 A320#4
23 02/09/24 A320#4
24 02/09/24 B737#5
25 02/09/24 B737#5
26 02/09/24 B737#5
27 02/09/24 B737#5
#
