%Flight Orig Dest DepTime ArrTime PrevFlight
1 BRU FRA 06:15 09:30 0
2 CPH AMS 10:07 12:43 0
3 MAD BRU 13:32 16:24 0
4 FRA AMS 16:55 20:43 0
6 VIE AMS 10:30 14:19 0
7 MAD CDG 14:38 15:38 0
8 AMS LHR 16:20 20:56 0
9 ORY TXL 21:27 01:49+1 0
10 ZRH DUB 10:45 13:14 0
11 CDG BCN 13:31 18:01 0
12 TXL ZRH 19:50 22:35 0
13 ORY TXL 12:15 15:31 0
14 ZRH BRU 18:15 23:12 0
18 VIE BRU 07:00 10:25 0
19 LHR FRA 11:59 16:10 0
20 MUC BRU 17:44 21:19 0
21 ZRH VIE 21:24 02:11+1 0
22 CPH FRA 09:30 11:45 0
23 TXL MUC 12:05 15:05 0
24 LHR DUB 15:35 17:02 0
25 CDG ORY 19:13 23:51 0
#
