%Flight DepDate Aircraft
1 05/09/24 B737#1
2 05/09/24 B737#1
3 05/09/24 B737#1
4 05/09/24 B737#1
5 05/09/24 A320#1
6 05/09/24 A320#1
7 05/09/24 A320#1
8 05/09/24 A320#2
9 05/09/24 A320#2
10 05/09/24 A320#2
11 05/09/24 A320#2
12 05/09/24 B737#2
13 05/09/24 B737#2
14 05/09/24 B737#2
15 05/09/24 B737#2
17 05/09/24 A320#3
18 05/09/24 A320#3
19 05/09/24 A320#3
20 05/09/24 A320#4
21 05/09/24 A320#4
22 05/09/24 A320#4
23 05/09/24 A320#4
24 05/09/24 A320#5
25 05/09/24 A320#5
26 05/09/24 A320#5
27 05/09/24 A320#5
28 05/09/24 A320#5
29 05/09/24 B737#3
30 05/09/24 B737#3
31 05/09/24 B737#3
32 05/09/24 A320#6
33 05/09/24 A320#6
34 05/09/24 A320#6
35 05/09/24 B737#4
36 05/09/24 B737#4
37 05/09/24 B737#4
#
