%Flight Orig Dest DepTime ArrTime PrevFlight
1 AMS MUC 10:30 13:29 0
2 CPH FRA 13:33 17:52 0
3 ZRH MUC 20:18 21:43 0
4 LHR TXL 22:04 01:35+1 0
5 ORY BRU 11:45 13:30 0
6 DUB CPH 14:09 15:29 0
7 IST TXL 18:03 20:23 0
8 ORY FRA 20:31 22:55 0
9 VIE MAD 08:30 13:19 0
10 DUB MAD 13:35 14:48 0
11 BCN VIE 15:58 17:33 0
12 MAD FRA 17:48 19:35 0
13 AMS BCN 20:40 23:29 0
14 MUC BCN 07:30 09:31 0
15 CDG TXL 09:35 12:46 0
16 ORY BCN 13:31 15:41 0
17 AMS TXL 17:23 18:31 0
18 VIE MUC 20:14 22:34 0
20 DUB BRU 07:30 09:00 0
21 BCN FRA 09:04 10:49 0
22 FRA TXL 13:45 16:52 0
23 ZRH ORY 19:12 22:02 0
24 FRA BCN 07:45 09:20 0
25 CPH MUC 10:55 13:24 0
26 CDG VIE 15:31 20:29 0
27 VIE ZRH 22:44 03:04+1 0
28 FRA TXL 11:30 13:17 0
29 DUB ZRH 14:20 15:49 0
30 CDG VIE 17:50 20:19 0
32 AMS CPH 08:00 11:43 0
33 ZRH VIE 12:33 14:13 0
34 VIE TXL 16:59 18:32 0
35 MAD CPH 19:18 23:57 0
36 CPH FRA 07:30 11:00 0
37 BCN CPH 12:14 13:18 0
38 CDG TXL 16:13 18:27 0
39 MAD DUB 20:35 22:52 0
#
