%Flight DepDate Aircraft
1 03/09/24 B737#1
2 03/09/24 B737#1
3 03/09/24 B737#1
4 03/09/24 A320#1
5 03/09/24 A320#1
6 03/09/24 A320#1
7 03/09/24 B737#2
8 03/09/24 B737#2
9 03/09/24 B737#2
10 03/09/24 B737#2
11 03/09/24 B737#3
12 03/09/24 B737#3
13 03/09/24 B737#3
14 03/09/24 B737#3
15 03/09/24 B737#4
16 03/09/24 B737#4
17 03/09/24 B737#4
18 03/09/24 B737#4
19 03/09/24 A320#2
20 03/09/24 A320#2
21 03/09/24 A320#2
22 03/09/24 B737#5
23 03/09/24 B737#5
24 03/09/24 B737#5
25 03/09/24 B737#6
26 03/09/24 B737#6
27 03/09/24 B737#6
#
