%Flight Orig Dest DepTime ArrTime PrevFlight
1 IST DUB 12:45 13:45 0
2 ZRH CDG 15:40 20:17 0
3 VIE FRA 21:31 22:54 0
4 ORY LHR 10:00 14:57 0
5 TXL DUB 16:15 17:40 0
6 ZRH VIE 19:42 22:27 0
7 ZRH MUC 06:15 09:53 0
8 ZRH AMS 10:02 14:10 0
9 ORY DUB 15:05 17:04 0
10 MAD BCN 19:52 22:17 0
11 IST CDG 08:00 11:19 0
12 ORY VIE 11:29 12:50 0
13 ORY MAD 15:06 17:04 0
14 CPH BCN 18:54 22:10 0
15 ZRH VIE 06:45 08:20 0
16 MUC MAD 09:09 11:41 0
17 CDG TXL 14:00 16:42 0
18 ZRH ORY 19:37 22:35 0
19 FRA MUC 10:00 11:34 0
20 TXL CPH 12:24 17:20 0
21 BRU MAD 18:11 22:31 0
22 BRU TXL 09:00 10:15 0
23 MAD CPH 12:38 16:37 0
24 MUC AMS 19:24 23:43 0
25 MUC ZRH 09:00 12:59 0
26 BRU ORY 15:52 19:16 0
27 MAD TXL 20:45 22:36 0
#
