%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB MUC 11:15 12:54 0
2 BCN LHR 15:20 19:13 0
3 ZRH TXL 19:29 23:37 0
4 IST LHR 12:15 16:13 0
5 MAD MUC 17:06 20:32 0
6 TXL CPH 21:54 01:50+1 0
7 MAD ORY 11:15 13:29 0
8 BCN AMS 14:55 18:11 0
9 FRA CDG 18:43 21:31 0
10 ZRH MAD 21:39 23:24 0
11 TXL MAD 12:00 16:27 0
12 BRU MUC 18:59 21:07 0
13 LHR TXL 21:24 23:42 0
14 BRU VIE 07:45 10:59 0
15 FRA AMS 12:45 14:00 0
16 MAD MUC 15:40 18:36 0
17 MAD AMS 19:57 23:36 0
18 MAD ZRH 11:45 16:29 0
19 TXL VIE 18:57 22:59 0
#
