model_name,sequence_type,actions,reward
../trained_models/dqn_3000d_10u-15.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([3])]",-20060.0
../trained_models/dqn_3000d_10u-15.zip,best action sequence,"[array([7]), array([7]), array([0])]",2000.0
../trained_models/dqn_25000d_10u-1.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([3])]",-20060.0
../trained_models/dqn_25000d_10u-1.zip,best action sequence,"[array([7]), array([7]), array([7])]",2000.0
../trained_models/dqn_2500d_10u-1.zip,worst action sequence,"[array([0]), array([5]), array([2]), array([0])]",984.0
../trained_models/dqn_2500d_10u-1.zip,best action sequence,"[array([7]), array([7]), array([1])]",2000.0
../trained_models/dqn_2500d_10u-2.zip,worst action sequence,"[array([5]), array([2]), array([7])]",989.0
../trained_models/dqn_2500d_10u-2.zip,best action sequence,"[array([7]), array([7]), array([1])]",2000.0
../trained_models/dqn_2500d_10u-3.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([6]), array([2])]",-9140.0
../trained_models/dqn_2500d_10u-3.zip,best action sequence,"[array([7]), array([7]), array([3])]",2000.0
