%Flight Orig Dest DepTime ArrTime PrevFlight
1 CDG AMS 08:30 10:23 0
2 TXL BCN 11:17 12:40 0
3 TXL BRU 14:46 18:54 0
4 LHR MUC 19:33 23:31 0
5 ORY CPH 12:15 15:57 0
6 DUB CPH 18:24 22:01 0
7 BRU TXL 07:15 11:52 0
8 MAD FRA 14:10 19:05 0
9 FRA BCN 19:07 21:57 0
10 FRA VIE 22:14 23:57 0
11 TXL FRA 07:45 12:29 0
12 AMS DUB 12:37 14:31 0
13 TXL IST 15:16 18:05 0
14 CDG ORY 20:54 01:09+1 0
15 CPH TXL 07:30 11:37 0
16 CDG ORY 13:15 14:50 0
17 VIE CPH 15:57 16:59 0
18 DUB BCN 18:21 21:52 0
19 CPH CDG 22:56 03:23+1 0
20 BRU LHR 06:15 09:33 0
21 VIE ORY 09:36 12:03 0
22 MUC IST 12:19 15:46 0
23 TXL CPH 16:29 18:57 0
24 CPH DUB 06:30 11:28 0
25 DUB ZRH 12:30 14:42 0
26 BRU ORY 17:00 20:45 0
27 ORY CPH 21:12 01:38+1 0
28 ZRH FRA 07:30 10:07 0
29 ZRH IST 13:05 17:15 0
30 ORY TXL 17:16 19:35 0
31 MUC VIE 20:58 22:22 0
#
