%Flight DepDate Aircraft
1 01/09/24 B737#1
2 01/09/24 B737#1
3 01/09/24 B737#1
4 01/09/24 B737#2
5 01/09/24 B737#2
6 01/09/24 B737#2
8 01/09/24 A320#1
9 01/09/24 A320#1
10 01/09/24 A320#2
11 01/09/24 A320#2
12 01/09/24 A320#2
13 01/09/24 B737#3
14 01/09/24 B737#3
16 01/09/24 A320#3
17 01/09/24 A320#3
18 01/09/24 A320#3
19 01/09/24 A320#3
20 01/09/24 A320#4
21 01/09/24 A320#4
22 01/09/24 A320#4
24 01/09/24 A320#5
25 01/09/24 A320#5
26 01/09/24 A320#5
27 01/09/24 B737#4
28 01/09/24 B737#4
29 01/09/24 B737#4
#
