%Flight DepDate Aircraft
1 28/09/24 A320#1
2 28/09/24 A320#1
3 28/09/24 A320#1
4 28/09/24 A320#1
5 28/09/24 A320#2
6 28/09/24 A320#2
7 28/09/24 A320#2
8 28/09/24 A320#2
9 28/09/24 B737#1
10 28/09/24 B737#1
11 28/09/24 B737#1
12 28/09/24 B737#2
13 28/09/24 B737#2
14 28/09/24 B737#2
15 28/09/24 B737#2
16 28/09/24 B737#3
17 28/09/24 B737#3
18 28/09/24 B737#3
19 28/09/24 A320#3
20 28/09/24 A320#3
21 28/09/24 A320#3
22 28/09/24 A320#3
23 28/09/24 B737#4
24 28/09/24 B737#4
25 28/09/24 B737#4
26 28/09/24 B737#4
27 28/09/24 B737#4
28 28/09/24 B737#5
29 28/09/24 B737#5
30 28/09/24 B737#5
32 28/09/24 B737#6
33 28/09/24 B737#6
34 28/09/24 B737#6
35 28/09/24 B737#6
#
