%Flight DepDate Aircraft
1 11/09/24 B737#1
2 11/09/24 B737#1
3 11/09/24 B737#1
4 11/09/24 B737#1
5 11/09/24 A320#1
6 11/09/24 A320#1
7 11/09/24 A320#1
8 11/09/24 A320#1
9 11/09/24 A320#2
10 11/09/24 A320#2
11 11/09/24 A320#2
12 11/09/24 A320#2
13 11/09/24 A320#3
14 11/09/24 A320#3
15 11/09/24 A320#3
16 11/09/24 A320#3
18 11/09/24 A320#5
19 11/09/24 A320#5
20 11/09/24 A320#5
21 11/09/24 A320#5
23 11/09/24 A320#6
24 11/09/24 A320#6
25 11/09/24 A320#6
26 11/09/24 B737#2
27 11/09/24 B737#2
28 11/09/24 B737#2
29 11/09/24 A320#7
30 11/09/24 A320#7
#
