%Flight DepDate Aircraft
1 28/09/24 B737#1
2 28/09/24 B737#1
3 28/09/24 B737#1
4 28/09/24 A320#1
5 28/09/24 A320#1
6 28/09/24 A320#1
7 28/09/24 A320#1
8 28/09/24 B737#2
9 28/09/24 B737#2
10 28/09/24 B737#2
11 28/09/24 B737#3
12 28/09/24 B737#3
13 28/09/24 B737#3
14 28/09/24 B737#3
15 28/09/24 B737#4
16 28/09/24 B737#4
17 28/09/24 B737#4
18 28/09/24 B737#5
19 28/09/24 B737#5
20 28/09/24 B737#5
21 28/09/24 B737#5
22 28/09/24 A320#2
23 28/09/24 A320#2
24 28/09/24 A320#2
25 28/09/24 A320#2
26 28/09/24 A320#2
27 28/09/24 A320#3
28 28/09/24 A320#3
29 28/09/24 A320#3
30 28/09/24 A320#3
31 28/09/24 A320#4
32 28/09/24 A320#4
33 28/09/24 A320#4
34 28/09/24 A320#4
#
