%Flight DepDate Aircraft
1 24/09/24 B737#1
2 24/09/24 B737#1
3 24/09/24 B737#1
4 24/09/24 B737#1
5 24/09/24 B737#2
6 24/09/24 B737#2
7 24/09/24 B737#2
8 24/09/24 B737#2
9 24/09/24 B737#3
10 24/09/24 B737#3
11 24/09/24 B737#3
13 24/09/24 B737#4
14 24/09/24 B737#4
15 24/09/24 B737#4
16 24/09/24 B737#4
17 24/09/24 B737#4
18 24/09/24 A320#1
19 24/09/24 A320#1
20 24/09/24 A320#1
21 24/09/24 B737#5
22 24/09/24 B737#5
23 24/09/24 B737#5
24 24/09/24 B737#6
25 24/09/24 B737#6
26 24/09/24 B737#6
27 24/09/24 B737#6
28 24/09/24 B737#6
#
