%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH TXL 12:45 15:37 0
2 CDG TXL 16:40 18:09 0
3 LHR CPH 18:57 21:45 0
4 FRA BRU 22:10 01:39+1 0
5 CDG VIE 12:30 15:14 0
6 TXL MUC 17:18 21:58 0
8 FRA BRU 06:45 08:28 0
9 FRA MUC 11:07 15:29 0
10 VIE IST 15:55 17:39 0
11 AMS LHR 18:37 22:39 0
12 TXL MAD 09:45 12:26 0
13 CDG AMS 13:03 16:12 0
14 BCN ZRH 17:33 22:27 0
15 BCN DUB 07:00 08:20 0
16 VIE DUB 09:12 13:34 0
17 AMS BRU 13:40 16:31 0
18 MUC CDG 16:36 19:42 0
19 MAD AMS 07:15 10:16 0
20 VIE AMS 11:16 15:31 0
21 ZRH MAD 16:25 18:57 0
22 MAD IST 21:28 23:39 0
23 MAD AMS 11:00 12:38 0
24 LHR ZRH 14:49 19:01 0
25 IST AMS 19:42 22:21 0
#
